word,true_label,predicted_label,error_type,pos_tag,fgpos_tag,sentence
know,0,0,Correct,VERB,VB,"I do n't write anything , I send the tape in , they do n't know who you are you 're just a it 's just a voice speaking nobody knows who you are or anything , they only know me nobody else ."
voice,0,0,Correct,NOUN,NN,"I do n't write anything , I send the tape in , they do n't know who you are you 're just a it 's just a voice speaking nobody knows who you are or anything , they only know me nobody else ."
speaking,1,0,False Negative,VERB,VBG,"I do n't write anything , I send the tape in , they do n't know who you are you 're just a it 's just a voice speaking nobody knows who you are or anything , they only know me nobody else ."
nobody,0,0,Correct,PRON,NN,"I do n't write anything , I send the tape in , they do n't know who you are you 're just a it 's just a voice speaking nobody knows who you are or anything , they only know me nobody else ."
knows,0,0,Correct,VERB,VBZ,"I do n't write anything , I send the tape in , they do n't know who you are you 're just a it 's just a voice speaking nobody knows who you are or anything , they only know me nobody else ."
anything,0,0,Correct,PRON,NN,"I do n't write anything , I send the tape in , they do n't know who you are you 're just a it 's just a voice speaking nobody knows who you are or anything , they only know me nobody else ."
know,0,0,Correct,VERB,VB,"I do n't write anything , I send the tape in , they do n't know who you are you 're just a it 's just a voice speaking nobody knows who you are or anything , they only know me nobody else ."
nobody,0,0,Correct,PRON,NN,"I do n't write anything , I send the tape in , they do n't know who you are you 're just a it 's just a voice speaking nobody knows who you are or anything , they only know me nobody else ."
else,0,0,Correct,ADV,RB,"I do n't write anything , I send the tape in , they do n't know who you are you 're just a it 's just a voice speaking nobody knows who you are or anything , they only know me nobody else ."
say,1,0,False Negative,VERB,VB,"I do not say , either , that these rights and duties should be tied into one package , that if a young person wants to assume any of them , he must assume them all ."
either,0,0,Correct,CCONJ,CC,"I do not say , either , that these rights and duties should be tied into one package , that if a young person wants to assume any of them , he must assume them all ."
rights,0,1,False Positive,NOUN,NNS,"I do not say , either , that these rights and duties should be tied into one package , that if a young person wants to assume any of them , he must assume them all ."
duties,0,0,Correct,NOUN,NNS,"I do not say , either , that these rights and duties should be tied into one package , that if a young person wants to assume any of them , he must assume them all ."
tied,1,1,Correct,VERB,VBN,"I do not say , either , that these rights and duties should be tied into one package , that if a young person wants to assume any of them , he must assume them all ."
package,1,1,Correct,NOUN,NN,"I do not say , either , that these rights and duties should be tied into one package , that if a young person wants to assume any of them , he must assume them all ."
young,0,0,Correct,ADJ,JJ,"I do not say , either , that these rights and duties should be tied into one package , that if a young person wants to assume any of them , he must assume them all ."
person,0,0,Correct,NOUN,NN,"I do not say , either , that these rights and duties should be tied into one package , that if a young person wants to assume any of them , he must assume them all ."
wants,0,0,Correct,VERB,VBZ,"I do not say , either , that these rights and duties should be tied into one package , that if a young person wants to assume any of them , he must assume them all ."
assume,0,1,False Positive,VERB,VB,"I do not say , either , that these rights and duties should be tied into one package , that if a young person wants to assume any of them , he must assume them all ."
assume,0,1,False Positive,VERB,VB,"I do not say , either , that these rights and duties should be tied into one package , that if a young person wants to assume any of them , he must assume them all ."
du,0,0,Correct,PROPN,NNP,"I du n no , what can you do Ann !"
Ann,0,0,Correct,PROPN,NNP,"I du n no , what can you do Ann !"
du,0,0,Correct,PROPN,NNP,I du n no .
du,0,0,Correct,PROPN,NNP,I du n no just
du,0,0,Correct,PROPN,NNP,"I du n no what 's up I just , that closing date 's tomorrow in n it ?"
closing,0,0,Correct,VERB,VBG,"I du n no what 's up I just , that closing date 's tomorrow in n it ?"
date,0,0,Correct,NOUN,NN,"I du n no what 's up I just , that closing date 's tomorrow in n it ?"
tomorrow,0,0,Correct,NOUN,NN,"I du n no what 's up I just , that closing date 's tomorrow in n it ?"
du,0,0,Correct,PROPN,NNP,I du n no who shall be the worst
worst,0,0,Correct,ADJ,JJS,I du n no who shall be the worst
erm,0,0,Correct,INTJ,UH,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
got,0,1,False Positive,VERB,VBD,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
check,0,0,Correct,VERB,VB,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
got,1,1,Correct,VERB,VBD,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
days,0,0,Correct,NOUN,NNS,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
got,0,1,False Positive,VERB,VBD,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
give,1,1,Correct,VERB,VB,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
estimate,0,0,Correct,NOUN,NN,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
got,0,1,False Positive,VERB,VBD,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
expecting,0,0,Correct,VERB,VBG,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
straight,0,1,False Positive,ADV,RB,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
away,0,1,False Positive,ADV,RB,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
computer,0,0,Correct,NOUN,NN,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
sent,0,0,Correct,VERB,VBN,"I erm got , check you 've got two days , you 've got give me the estimate , it 's got to be on because she 's expecting it to be done straight away on the computer and sent ."
explained,0,0,Correct,VERB,VBD,"I explained all that to Chatterton , but stressed that we would run for cover at the first sign of trouble ."
Chatterton,0,0,Correct,PROPN,NNP,"I explained all that to Chatterton , but stressed that we would run for cover at the first sign of trouble ."
stressed,1,1,Correct,VERB,VBN,"I explained all that to Chatterton , but stressed that we would run for cover at the first sign of trouble ."
run,1,1,Correct,VERB,VB,"I explained all that to Chatterton , but stressed that we would run for cover at the first sign of trouble ."
cover,1,1,Correct,NOUN,NN,"I explained all that to Chatterton , but stressed that we would run for cover at the first sign of trouble ."
first,0,0,Correct,ADV,RB,"I explained all that to Chatterton , but stressed that we would run for cover at the first sign of trouble ."
sign,1,1,Correct,NOUN,NN,"I explained all that to Chatterton , but stressed that we would run for cover at the first sign of trouble ."
trouble,0,0,Correct,NOUN,NN,"I explained all that to Chatterton , but stressed that we would run for cover at the first sign of trouble ."
found,0,0,Correct,VERB,VBN,I found it over here .
found,0,1,False Positive,VERB,VBN,"I found yeah there is some out there , they were alright so I I I boiled them up they 're alright ."
yeah,0,0,Correct,INTJ,UH,"I found yeah there is some out there , they were alright so I I I boiled them up they 're alright ."
alright,0,0,Correct,INTJ,UH,"I found yeah there is some out there , they were alright so I I I boiled them up they 're alright ."
boiled,0,0,Correct,VERB,VBN,"I found yeah there is some out there , they were alright so I I I boiled them up they 're alright ."
alright,0,0,Correct,INTJ,UH,"I found yeah there is some out there , they were alright so I I I boiled them up they 're alright ."
get,0,0,Correct,AUX,VB,I get on very well with him though .
well,0,0,Correct,INTJ,UH,I get on very well with him though .
though,0,0,Correct,ADV,RB,I get on very well with him though .
glanced,0,0,Correct,VERB,VBD,"I glanced up at the sails , down at the compass , then ahead to where the lighthouse loom arced powerfully through the night ."
sails,0,0,Correct,NOUN,NNS,"I glanced up at the sails , down at the compass , then ahead to where the lighthouse loom arced powerfully through the night ."
compass,0,0,Correct,PROPN,NNP,"I glanced up at the sails , down at the compass , then ahead to where the lighthouse loom arced powerfully through the night ."
ahead,0,0,Correct,ADV,RB,"I glanced up at the sails , down at the compass , then ahead to where the lighthouse loom arced powerfully through the night ."
lighthouse,0,0,Correct,PROPN,NNP,"I glanced up at the sails , down at the compass , then ahead to where the lighthouse loom arced powerfully through the night ."
loom,1,0,False Negative,PROPN,NNP,"I glanced up at the sails , down at the compass , then ahead to where the lighthouse loom arced powerfully through the night ."
arced,0,1,False Positive,VERB,VBN,"I glanced up at the sails , down at the compass , then ahead to where the lighthouse loom arced powerfully through the night ."
powerfully,0,1,False Positive,ADV,RB,"I glanced up at the sails , down at the compass , then ahead to where the lighthouse loom arced powerfully through the night ."
night,0,0,Correct,NOUN,NN,"I glanced up at the sails , down at the compass , then ahead to where the lighthouse loom arced powerfully through the night ."
grimaced,0,0,Correct,VERB,VBD,I grimaced .
guessed,0,0,Correct,VERB,VBN,"I guessed , but did not make him confirm my guess ."
make,1,1,Correct,VERB,VB,"I guessed , but did not make him confirm my guess ."
confirm,0,0,Correct,VERB,VB,"I guessed , but did not make him confirm my guess ."
guess,0,0,Correct,VERB,VB,"I guessed , but did not make him confirm my guess ."
idea,0,0,Correct,NOUN,NN,"I had no idea , ’ Paula said , surprised she had not already heard the news ."
Paula,0,0,Correct,PROPN,NNP,"I had no idea , ’ Paula said , surprised she had not already heard the news ."
said,0,0,Correct,VERB,VBD,"I had no idea , ’ Paula said , surprised she had not already heard the news ."
surprised,0,0,Correct,ADJ,JJ,"I had no idea , ’ Paula said , surprised she had not already heard the news ."
already,0,0,Correct,ADV,RB,"I had no idea , ’ Paula said , surprised she had not already heard the news ."
heard,0,0,Correct,VERB,VBN,"I had no idea , ’ Paula said , surprised she had not already heard the news ."
news,0,0,Correct,NOUN,NN,"I had no idea , ’ Paula said , surprised she had not already heard the news ."
idea,0,0,Correct,NOUN,NN,I had no idea he wanted me to marry him when he has his head shaved . ’
wanted,0,0,Correct,VERB,VBN,I had no idea he wanted me to marry him when he has his head shaved . ’
marry,0,0,Correct,VERB,VB,I had no idea he wanted me to marry him when he has his head shaved . ’
head,0,0,Correct,NOUN,NN,I had no idea he wanted me to marry him when he has his head shaved . ’
shaved,0,0,Correct,VERB,VBN,I had no idea he wanted me to marry him when he has his head shaved . ’
nothing,0,0,Correct,PRON,NN,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
particular,0,0,Correct,ADJ,JJ,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
planned,1,1,Correct,VERB,VBN,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
merely,0,0,Correct,ADV,RB,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
idea,0,0,Correct,NOUN,NN,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
interesting,0,0,Correct,ADJ,JJ,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
thrash,1,1,Correct,VERB,VB,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
way,0,0,Correct,NOUN,NN,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
open,1,0,False Negative,ADJ,JJ,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
ocean,0,0,Correct,NOUN,NN,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
though,0,0,Correct,ADV,RB,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
mindful,0,0,Correct,ADJ,JJ,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
danger,0,0,Correct,NOUN,NN,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
tropical,0,0,Correct,ADJ,JJ,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
storms,0,0,Correct,NOUN,NNS,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
intention,0,0,Correct,NOUN,NN,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
going,0,0,Correct,VERB,VBG,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
far,0,0,Correct,ADV,RB,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
safe,0,0,Correct,ADJ,JJ,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
shelter,0,0,Correct,PROPN,NNP,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
Bahamian,0,0,Correct,ADJ,JJ,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
hurricane,0,0,Correct,PROPN,NNP,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
hole,0,0,Correct,NOUN,NN,"I had nothing particular planned , merely an idea that it might be interesting to thrash our way out into the open ocean , though , mindful of the danger of tropical storms , I had no intention of going too far from the safe shelter of a Bahamian hurricane hole ."
dear,0,0,Correct,ADJ,JJ,I had some my dear .
spoken,0,0,Correct,VERB,VBN,"I had spoken enthusiastically , but Jackson Chatterton seemed unmoved by the prospect ."
enthusiastically,0,0,Correct,ADV,RB,"I had spoken enthusiastically , but Jackson Chatterton seemed unmoved by the prospect ."
Jackson,0,0,Correct,PROPN,NNP,"I had spoken enthusiastically , but Jackson Chatterton seemed unmoved by the prospect ."
Chatterton,0,0,Correct,PROPN,NNP,"I had spoken enthusiastically , but Jackson Chatterton seemed unmoved by the prospect ."
seemed,0,0,Correct,VERB,VBD,"I had spoken enthusiastically , but Jackson Chatterton seemed unmoved by the prospect ."
unmoved,0,1,False Positive,ADJ,JJ,"I had spoken enthusiastically , but Jackson Chatterton seemed unmoved by the prospect ."
prospect,1,1,Correct,PROPN,NNP,"I had spoken enthusiastically , but Jackson Chatterton seemed unmoved by the prospect ."
hated,0,0,Correct,VERB,VBN,I hated it !
flown,0,0,Correct,VERB,VBN,I have flown my plane with cadged army fuel six hundred miles .
plane,0,0,Correct,NOUN,NN,I have flown my plane with cadged army fuel six hundred miles .
cadged,0,1,False Positive,VERB,VBN,I have flown my plane with cadged army fuel six hundred miles .
army,0,0,Correct,PROPN,NNP,I have flown my plane with cadged army fuel six hundred miles .
fuel,0,0,Correct,NOUN,NN,I have flown my plane with cadged army fuel six hundred miles .
miles,0,0,Correct,NOUN,NNS,I have flown my plane with cadged army fuel six hundred miles .
lived,0,0,Correct,VERB,VBD,I have lived here for nearly five years .
nearly,0,0,Correct,ADV,RB,I have lived here for nearly five years .
years,0,0,Correct,NOUN,NNS,I have lived here for nearly five years .
looked,0,0,Correct,VERB,VBD,I have looked at the stones .
stones,0,0,Correct,NOUN,NNS,I have looked at the stones .
many,0,0,Correct,ADJ,JJ,I have many cattle on my farm . ’
cattle,0,0,Correct,NOUN,NNS,I have many cattle on my farm . ’
farm,0,0,Correct,NOUN,NN,I have many cattle on my farm . ’
many,0,0,Correct,ADJ,JJ,I have many cows and many children .
cows,0,0,Correct,NOUN,NNS,I have many cows and many children .
many,0,0,Correct,ADJ,JJ,I have many cows and many children .
children,0,0,Correct,NOUN,NNS,I have many cows and many children .
even,0,0,Correct,ADV,RB,I have n't even mentioned a single detail of the Mattli collection . ’
mentioned,0,0,Correct,VERB,VBN,I have n't even mentioned a single detail of the Mattli collection . ’
single,0,0,Correct,ADJ,JJ,I have n't even mentioned a single detail of the Mattli collection . ’
detail,0,0,Correct,NOUN,NN,I have n't even mentioned a single detail of the Mattli collection . ’
Mattli,0,0,Correct,PROPN,NNP,I have n't even mentioned a single detail of the Mattli collection . ’
collection,0,0,Correct,NOUN,NN,I have n't even mentioned a single detail of the Mattli collection . ’
got,0,0,Correct,VERB,VBD,I have n't got any money .
money,0,0,Correct,NOUN,NN,I have n't got any money .
offered,0,0,Correct,VERB,VBN,I have offered many cows to pay this man 's family .
many,0,0,Correct,ADJ,JJ,I have offered many cows to pay this man 's family .
cows,0,0,Correct,NOUN,NNS,I have offered many cows to pay this man 's family .
pay,0,1,False Positive,VERB,VB,I have offered many cows to pay this man 's family .
man,0,0,Correct,NOUN,NN,I have offered many cows to pay this man 's family .
family,0,0,Correct,NOUN,NN,I have offered many cows to pay this man 's family .
quite,0,0,Correct,ADV,RB,I have quite a few contacts — people who knew me when I was designing for Carnega — and they have been very encouraging .
contacts,1,1,Correct,NOUN,NNS,I have quite a few contacts — people who knew me when I was designing for Carnega — and they have been very encouraging .
people,0,0,Correct,NOUN,NNS,I have quite a few contacts — people who knew me when I was designing for Carnega — and they have been very encouraging .
knew,0,0,Correct,VERB,VBD,I have quite a few contacts — people who knew me when I was designing for Carnega — and they have been very encouraging .
designing,0,1,False Positive,VERB,VBG,I have quite a few contacts — people who knew me when I was designing for Carnega — and they have been very encouraging .
encouraging,0,1,False Positive,ADJ,JJ,I have quite a few contacts — people who knew me when I was designing for Carnega — and they have been very encouraging .
papers,0,0,Correct,NOUN,NNS,I have the papers . ’
ask,0,0,Correct,VERB,VB,I have to ask . ’
explain,0,0,Correct,VERB,VB,I have to explain to him what happened .
happened,0,0,Correct,VERB,VBD,I have to explain to him what happened .
go,0,0,Correct,VERB,VB,I have to go to my country to see my father .
country,0,0,Correct,NOUN,NN,I have to go to my country to see my father .
see,0,0,Correct,VERB,VB,I have to go to my country to see my father .
father,0,0,Correct,PROPN,NNP,I have to go to my country to see my father .
talk,0,0,Correct,VERB,VB,I have to talk to the governor .
governor,0,0,Correct,PROPN,NNP,I have to talk to the governor .
told,0,0,Correct,VERB,VBD,I have told her everything that happened . ’
everything,0,0,Correct,PRON,NN,I have told her everything that happened . ’
happened,0,0,Correct,VERB,VBD,I have told her everything that happened . ’
heard,0,0,Correct,VERB,VBN,I heard about the lion hunt .
lion,0,0,Correct,PROPN,NNP,I heard about the lion hunt .
hunt,0,1,False Positive,PROPN,NNP,I heard about the lion hunt .
hope,0,0,Correct,NOUN,NN,I hope .
hoped,0,0,Correct,VERB,VBD,I hoped Thessy was fast asleep for he would be taking the morning watch .
Thessy,0,0,Correct,PROPN,NNP,I hoped Thessy was fast asleep for he would be taking the morning watch .
fast,0,0,Correct,ADV,RB,I hoped Thessy was fast asleep for he would be taking the morning watch .
asleep,0,0,Correct,ADJ,JJ,I hoped Thessy was fast asleep for he would be taking the morning watch .
taking,1,1,Correct,VERB,VBG,I hoped Thessy was fast asleep for he would be taking the morning watch .
morning,0,0,Correct,NOUN,NN,I hoped Thessy was fast asleep for he would be taking the morning watch .
watch,0,0,Correct,VERB,VB,I hoped Thessy was fast asleep for he would be taking the morning watch .
believe,0,0,Correct,VERB,VB,I just ca n't believe how daft he is .
daft,0,0,Correct,ADJ,JJ,I just ca n't believe how daft he is .
going,0,0,Correct,VERB,VBG,I just going go round .
go,0,0,Correct,VERB,VB,I just going go round .
round,0,0,Correct,ADV,RB,I just going go round .
swayed,0,1,False Positive,VERB,VBN,"I just swayed at her , and she"
knew,0,0,Correct,VERB,VBD,I knew I 'd be in trouble !
trouble,0,0,Correct,NOUN,NN,I knew I 'd be in trouble !
know,0,0,Correct,VERB,VB,I know !
know,0,0,Correct,VERB,VB,"I know , but you shall have to bring it home wo n't you ?"
bring,0,0,Correct,VERB,VB,"I know , but you shall have to bring it home wo n't you ?"
home,0,0,Correct,NOUN,NN,"I know , but you shall have to bring it home wo n't you ?"
know,0,0,Correct,VERB,VB,"I know , what is going on !"
going,1,1,Correct,VERB,VBG,"I know , what is going on !"
know,0,0,Correct,VERB,VB,"I know , yeah ."
yeah,0,0,Correct,INTJ,UH,"I know , yeah ."
know,0,0,Correct,VERB,VB,I know .
know,0,0,Correct,VERB,VB,I know .
know,0,0,Correct,VERB,VB,I know .
know,0,0,Correct,VERB,VB,I know .
know,0,0,Correct,VERB,VB,I know .
know,0,0,Correct,VERB,VB,I know I come on a Friday I were absolutely gobsmacked !
come,0,1,False Positive,VERB,VB,I know I come on a Friday I were absolutely gobsmacked !
Friday,0,0,Correct,PROPN,NNP,I know I come on a Friday I were absolutely gobsmacked !
absolutely,0,0,Correct,ADV,RB,I know I come on a Friday I were absolutely gobsmacked !
gobsmacked,0,1,False Positive,VERB,VBN,I know I come on a Friday I were absolutely gobsmacked !
know,0,0,Correct,VERB,VB,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
waste,1,1,Correct,NOUN,NN,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
time,0,0,Correct,NOUN,NN,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
better,0,0,Correct,ADV,RBR,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
spent,1,1,Correct,VERB,VBN,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
finish,0,0,Correct,NOUN,NN,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
order,1,0,False Negative,NOUN,NN,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
inject,1,1,Correct,VERB,VB,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
fair,1,1,Correct,ADJ,JJ,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
use,0,0,Correct,NOUN,NN,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
though,0,0,Correct,ADV,RB,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
doubt,0,0,Correct,NOUN,NN,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
pick,0,1,False Positive,VERB,VB,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
things,0,1,False Positive,NOUN,NNS,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
right,0,0,Correct,INTJ,UH,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
bloody,0,1,False Positive,ADJ,JJ,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
many,0,0,Correct,ADJ,JJ,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
enough,0,0,Correct,ADV,RB,"I know but it 's just , waste of time in it ? they 'd been better spent to finish the order that they did have , and inject that , ha oh be fair to do that to use though , no doubt they will , pick out all the things we did n't do right bloody should done too many of this or not enough of that"
know,0,0,Correct,VERB,VB,I know five hundred and sixty was extra cos Stuart gave me two hundred short of a thousand .
extra,0,0,Correct,ADJ,JJ,I know five hundred and sixty was extra cos Stuart gave me two hundred short of a thousand .
cos,0,0,Correct,PROPN,NNP,I know five hundred and sixty was extra cos Stuart gave me two hundred short of a thousand .
Stuart,0,0,Correct,PROPN,NNP,I know five hundred and sixty was extra cos Stuart gave me two hundred short of a thousand .
gave,0,1,False Positive,VERB,VBD,I know five hundred and sixty was extra cos Stuart gave me two hundred short of a thousand .
short,1,1,Correct,ADJ,JJ,I know five hundred and sixty was extra cos Stuart gave me two hundred short of a thousand .
know,0,0,Correct,VERB,VB,"I know she 's right , but she should , set an example in some ways , mm people are so used to her now they just look at her and carry on talking silly old bugger , you know , , shut up Deirdre I 'm do n't want to do that , should n't be , cos there was n't much to put on , although they left , left quite a bit off yesterday , they cut short , there was five hundred breast portion short and two hundred oyster eggs , so Deirdre informed me but they injected six hundred too many and four hundred eggs to Tescos all quite ridiculous ."
right,0,0,Correct,INTJ,UH,"I know she 's right , but she should , set an example in some ways , mm people are so used to her now they just look at her and carry on talking silly old bugger , you know , , shut up Deirdre I 'm do n't want to do that , should n't be , cos there was n't much to put on , although they left , left quite a bit off yesterday , they cut short , there was five hundred breast portion short and two hundred oyster eggs , so Deirdre informed me but they injected six hundred too many and four hundred eggs to Tescos all quite ridiculous ."
set,1,1,Correct,VERB,VBN,"I know she 's right , but she should , set an example in some ways , mm people are so used to her now they just look at her and carry on talking silly old bugger , you know , , shut up Deirdre I 'm do n't want to do that , should n't be , cos there was n't much to put on , although they left , left quite a bit off yesterday , they cut short , there was five hundred breast portion short and two hundred oyster eggs , so Deirdre informed me but they injected six hundred too many and four hundred eggs to Tescos all quite ridiculous ."
